Year,State,Award Amount
2011,AL,181414
2011,AL,197854
2011,AL,293602
2011,AL,138606
2011,AL,164652
2011,AL,770680
2011,AL,70327
2011,AL,29297
2011,AL,69087
2011,AL,102840
2011,AL,62856
2011,AL,90792
2011,AL,209520
2011,AL,42000
2011,AL,128638
2011,AL,382353
2011,AL,1080420
2011,AL,493348
2011,AL,249084
2011,AL,371402
2011,AL,103751
2011,AL,279920
2011,AL,123088
2011,AL,175061
2011,AL,163077
2011,AL,78178
2011,AL,86100
2011,AL,90284
2011,AL,105000
2011,AL,120860
2011,AL,120861
2011,AL,123060
2011,AL,160019
2011,AL,479261
2011,AL,409834
2011,AL,146187
2011,AL,148732
2011,AL,94756
2011,AL,937228
2011,AL,23604977
2011,AL,1470781
2011,AL,827314
2011,AL,14659243
2011,AL,1402039
2011,AL,5000000
2011,AL,598620
2011,AL,486358
2011,AL,662487
2011,AL,636645
2011,AL,6021660
2011,AL,292639
2011,AL,164609
2011,AL,1990104
2011,AL,586116
2011,AL,2576151
2011,AL,461311
2011,AL,488099
2011,AL,375982
2011,AL,1052959
2011,AL,885765
2011,AL,261629
2011,AL,1178538
2011,AL,657661
2011,AL,1850627
2011,AL,89937
2011,AL,50590
2011,AL,906768
2011,AL,1791526
2011,AL,85651
2011,AL,48179
2011,AL,819763
2011,AL,2607635
2011,AL,129536
2011,AL,72864
2011,AL,1356794
2011,AL,1883099
2011,AL,91641
2011,AL,51548
2011,AL,1117711
2011,AL,235942
2011,AL,851059
2011,AL,573126
2012,AL,125404
2012,AL,44370
2012,AL,417636
2012,AL,130023
2012,AL,79667
2012,AL,636758
2012,AL,127989
2012,AL,129431
2012,AL,107000
2012,AL,105729
2012,AL,151565
2012,AL,87740
2012,AL,392735
2012,AL,184981
2012,AL,96561
2012,AL,276623
2012,AL,166183
2012,AL,148974
2012,AL,169074
2012,AL,92006
2012,AL,11196
2012,AL,10000
2012,AL,50797
2012,AL,509335
2012,AL,59977
2012,AL,57521
2012,AL,54355
2012,AL,315021
2012,AL,69045
2012,AL,82629
2012,AL,126239
2012,AL,134102
2012,AL,109628
2012,AL,520688
2012,AL,264790
2012,AL,3951304
2012,AL,26964
2012,AL,153879
2012,AL,155131
2012,AL,128834
2012,AL,48746
2012,AL,87859
2012,AL,127004
2012,AL,91012
2012,AL,127728
2012,AL,141240
2012,AL,223262
2012,AL,267915
2012,AL,259290
2012,AL,171662
2012,AL,130623
2012,AL,320757
2012,AL,248309
2012,AL,190433
2012,AL,163108
2012,AL,55795
2012,AL,110930
2012,AL,187795
2012,AL,85464
2012,AL,188657
2012,AL,27332
2012,AL,826467
2012,AL,319953
2012,AL,141246
2012,AL,64946
2012,AL,68738
2012,AL,71667
2012,AL,210718
2012,AL,195253
2012,AL,150451
2012,AL,167788
2012,AL,28810
2012,AL,42000
2012,AL,92820
2012,AL,64260
2012,AL,64260
2012,AL,69087
2012,AL,540204
2012,AL,131211
2012,AL,178530
2012,AL,20780346
2012,AL,2633275
2012,AL,8785209
2012,AL,1419006
2012,AL,515078
2012,AL,318741
2012,AL,493900
2012,AL,495434
2012,AL,5541756
2012,AL,521460
2012,AL,1191453
2012,AL,582166
2012,AL,414751
2012,AL,440355
2012,AL,321117
2012,AL,848824
2012,AL,270176
2012,AL,1078233
2012,AL,482988
2012,AL,1641778
2012,AL,160259
2012,AL,586731
2012,AL,1621180
2012,AL,155141
2012,AL,544387
2012,AL,2150347
2012,AL,225814
2012,AL,788509
2012,AL,1550971
2012,AL,163071
2012,AL,714831
2012,AL,226531
2012,AL,855260
2012,AL,387191
2013,AL,127728
2013,AL,153879
2013,AL,190433
2013,AL,267915
2013,AL,905893
2013,AL,22273294
2013,AL,279191
2013,AL,1950825
2013,AL,8163110
2013,AL,1369305
2013,AL,131211
2013,AL,37000
2013,AL,493848
2013,AL,110930
2013,AL,320757
2013,AL,538763
2013,AL,317734
2013,AL,450095
2013,AL,508154
2013,AL,5587695
2013,AL,404288
2013,AL,1062436
2013,AL,555158
2013,AL,48746
2013,AL,128834
2013,AL,155131
2013,AL,223262
2013,AL,259290
2013,AL,432666
2013,AL,466487
2013,AL,87859
2013,AL,91012
2013,AL,127004
2013,AL,132395
2013,AL,70921
2013,AL,82629
2013,AL,129064
2013,AL,52261
